date,BAB,CMA,CMAs,CPTLT,FIN,HML,HML_DEV,HMLs,LIQ,LTREV,MGMT,MKTS,MKTSs,MOMS,PEAD,PERF,QMJ,RMW,RMWs,R_IA,R_ROE,SMB,SMBs,STREV
1989-12-31,-0.009039662,0.0141999999999999,0.0039,-0.0136,0.0054077919887886,0.0016,-0.00479436,0.0073,0.01943802,-0.0081999999999999,0.0117572468886328,0.0116,0.0235,0.0279999999999999,0.0140471552204336,0.0296760673583857,0.019866158,-0.0007,-0.0084,0.015752,0.010677,-0.0227,-0.0063,-0.0256
1990-01-31,-0.002150646,0.0135,0.0081,-0.1031,0.0080999643325391,0.0085,0.016489255,0.0044,-0.03403647,0.0348,0.007553115740402,-0.0785,-0.0282,-0.0327,0.0015137456711309,0.0145258044418396,0.008977008,-0.0116999999999999,-0.007,0.00925,0.0003549999999999,-0.0131,-0.0089,0.0102
1990-02-28,-0.013522387,-0.0066,-0.0022,0.028,-0.0156978847382598,0.0064,-0.008891584,0.0133,-0.02993156,0.0191,-0.0088916832687773,0.0111,-0.0135,-0.0055,0.0149280909172007,-0.002528660202742,-0.007635096,-0.0003,-0.0008,-0.010948,-0.003925,0.0116999999999999,-0.0051,0.0049
1990-03-31,-0.002077425,-0.0102,-0.007,-0.0482,-0.0038820933115765,-0.0292,-0.032441943,-0.0158,-0.02618451,-0.0024,-0.0141745969853629,0.0183,-0.0228,0.018,0.009460344436732,0.0444757227087305,0.019678888,0.0204,0.0152,-0.003645,0.022864,0.0162,0.0283,0.0017
1990-04-30,-0.024583388,-0.0098,-0.0142,-0.0414999999999999,-0.0068114491441214,-0.0259,-0.035854408,-0.0281,0.05838816,-0.0118,-0.0077409536911047,-0.0336,0.0029,0.0239,0.0095159868052013,0.0321197796408263,0.02759554,0.0178,0.0142,-0.007918,0.019801,-0.0033,0.004,-0.0182
1990-05-31,-0.020096636,-0.0168,-0.0003,0.1071,-0.0326485267945855,-0.0383,-0.043486836,-0.0211,-0.00653357,0.0098999999999999,-0.022489054984897,0.0842,0.001,0.0302999999999999,0.0174997531341433,0.0304454193767397,0.000927808,0.0157,0.0149,-0.008618,0.037369,-0.0235,-0.0084,-0.0034999999999999
1990-06-30,0.01326818,-0.0039,-0.0039,-0.018,-0.0081694730778969,-0.0192999999999999,-0.019421233,-0.0222,0.02597323,-0.0148,-0.002550809304366,-0.0109,-0.0037,0.024,0.0125771559648245,0.0217074772118066,0.01551299,-0.0103,-0.0091,0.002453,0.022253,0.0135,0.0332,-0.0022
1990-07-31,0.004657833,0.0321,0.008,-0.0653,0.0392254166429926,-0.0003,-0.003130435,-0.0017,0.05079944,-0.0187999999999999,0.041283296803212,-0.019,0.0499,0.061,0.0124090442882473,0.0293505689815001,0.023605735,-0.0018,0.0076,0.0401119999999999,0.025571,-0.0316,-0.0305,-0.0068
1990-08-31,-0.020743242,0.0296,0.0086,-0.1086999999999999,0.0315875833999571,0.0163999999999999,0.011076417,0.0082,0.04516347,0.0156,0.0245924938023699,-0.1015,-0.0257,0.0187999999999999,0.0221030942662182,0.0092635937176152,0.016356838,-0.0034999999999999,0.0075,0.037203,-0.0099829999999999,-0.0387,-0.0212,-0.0365
1990-09-30,0.00050154,0.0366999999999999,0.0083,-0.1444,0.0290189092683268,0.0064,-0.016414835,-0.0044,0.0196388,0.0037,0.0230606707414716,-0.0612,0.0274,0.0578,0.0415626059121182,0.0418948245893414,0.043831022,0.0006,0.0076,0.026212,-0.004552,-0.0374,-0.0168,-0.0598
