date,MKTB,DRF,MKTBD,CRF,VAL,CRY,MOMB,LTREVB,DUR,HMLB,STREVB,SZE,DEF,TERM,PEADB,MOMBS,BAB,CMA,CMAs,CPTLT,FIN,HML,HML_DEV,HMLs,LIQ,LTREV,MGMT,MKTS,MKTSs,MOMS,PEAD,PERF,QMJ,RMW,RMWs,R_IA,R_ROE,SMB,SMBs,STREV
30/11/1988,-0.011884663,-0.009981178,0.010754962,0.01132563,0.009760381,0.009043347,-0.006614729,0.005595954,-0.005263622,-0.001868313,0.012699297,0.007050326,0.0027,-0.0257,-0.001432917,-0.002742228,-0.019299355,0.0162,0.0106,-0.0109,0.024063715,0.0141,0.009445612,0.01,-0.00070705,-0.008,0.005152631,-0.0229,-0.0019,0.0033,0.010714018,-0.001249817,0.006664485,-0.0028,-0.0033,0.013928,-0.004884,-0.0165,-0.0059,-0.0067
31/12/1988,-0.003609431,0.000760852,-0.001268633,0.000182623,-0.000981247,0.003170573,0.003960942,0.00022614,0.002714207,-0.002351833,0.000844663,-0.000708256,-0.0071,0.0053,-0.001100749,-0.000471406,-0.025303154,-0.0038,0.0055,-0.0228,-0.011189587,-0.0169,-0.013083657,-0.001,-0.04442614,0.0079,-0.009809143,0.0149,-0.0162,0.0049,-0.012289022,0.029356887,0.008578438,0.0069,-0.0012,0.004539,0.007818,0.0201,0.026,0.0229
31/01/1989,0.009188539,0.008329436,-0.001375117,0.000148993,-0.001224033,0.005384727,0.000981212,-0.003577465,0.005025461,0.007307704,0.006562017,-0.000994847,-1.00E-04,0.014,0.002068383,7.85E-05,0.008555115,0.0014,0.0079,0.1056,-0.01902612,0.006,0.007375357,0.0129,-0.00066201,0.0283,-0.001938821,0.061,0.0146,-0.0016,0.001600131,-0.003788835,-0.01284497,-0.0095,-0.0084,0.000107,-0.003507,-0.0231,-0.0187,0.0097
28/02/1989,-0.010760326,-0.007970577,0.008228611,0.006396495,0.008268862,0.004035445,-0.00655494,0.007325792,-0.007432341,-0.003434402,0.007954914,-0.000818905,0.005,-0.0234,0.000953349,0.00025834,0.010442966,0.0181,0.0137,-0.0361,-0.000724852,0.0101,0.007717,0.0104,-0.00370499,0.0093,0.004837949,-0.0225,-0.0058,0.0099,-0.002511639,-0.01772094,-0.008453646,-0.0087,-0.0074,0.015631,-0.004588,0.0271,0.0121,0.0107
31/03/1989,-0.00487977,-0.001369556,-0.005993135,-0.002186919,-0.001932648,0.001356046,0.000680196,0.000977147,0.002127617,-0.001168732,0.002872308,6.45E-05,-0.0058,0.0061,-0.001858032,0.001810798,0.020628496,0.0072,0.001,0.0732,0.002799717,0.0058,-0.006732229,0.0038,-0.01005239,0.0055,0.020438295,0.0157,0.0175,0.0351,0.013654698,-0.007634072,-0.008077613,0.0005,0.0018,0.012637,-0.00142,0.0068,-0.0033,-0.0089
30/04/1989,0.005302309,0.00496725,-0.011036095,-0.013318039,-0.010795622,-0.007646441,-0.004762838,-0.007900126,0.005926327,0.00370284,-0.015470392,0.001867065,0.0054,0.0092,-0.000379906,0.001528387,0.008965258,-0.0057,-0.0041,0.0087,0.005019763,-0.0142,-0.021756729,-0.0086,-0.01942944,-0.0106,0.000431862,0.0433,0.0485,0.0177,0.014698,0.01769417,0.014415539,0.0071,0.0053,-0.002841,0.011641,-0.0078,-0.0037,-0.0065
31/05/1989,0.018680179,0.016067289,-0.000930407,-0.007427414,-0.011865477,-0.001095972,-0.006483764,-0.010802843,0.01627947,0.011306887,-0.009109812,0.001496045,-0.0022,0.0334,-0.000846013,-0.000331337,-0.004384126,-0.0008,0.0042,0.0264,-0.00283824,-0.0088,-0.018209906,0.0003,-0.03793897,-0.0172,-0.01347594,0.0335,0.0174,0.0152,0.019759246,0.000199243,0.000584856,0.0049,-0.0026,0.001016,0.011975,-0.0001,0.0081,-0.0274
30/06/1989,0.021431707,0.019042697,-0.011106055,-0.009066958,-0.015727184,-0.007921617,0.004897895,-0.003928483,0.019709187,0.011975097,-0.019341232,0.005342191,-0.0155,0.0471,0.000725149,0.001508908,0.020088367,0.0156,0.0033,-0.0084,0.042904165,0.0225,0.03139966,0.0042,0.0732271,-0.0065,0.025949609,-0.0135,0.0338,0.0043,-0.006743214,-0.027663062,-0.003747424,0.0027,-0.0001,0.01593,-0.001521,-0.0109,-0.0172,0.023
31/07/1989,0.009636082,-0.00208573,-0.007186615,-0.01024267,-0.004762118,-0.006448382,0.002274195,-0.005041702,-7.71E-05,-0.000382888,-5.82E-06,0.001836617,-0.006,0.0167,-0.00171194,0.004287013,0.008610078,-0.0058,-0.0083,0.1308,0.024200742,-0.0279,-0.033203511,-0.0252,0.03174884,-0.0177,0.009152672,0.072,0.0618,0.0541,0.033459668,0.026495044,0.012684827,0.0198,0.0236,-0.004503,0.049063,-0.0415,-0.0209,0.0143
31/08/1989,-0.016673832,-0.008643303,0.011193686,0.011278718,0.003848704,0.008248268,-0.008736031,0.002155187,-0.005134615,-0.007118102,0.012478675,2.59E-05,0.0096,-0.0329,-0.000117559,0.000796659,0.009173361,-0.0058,-0.009,-0.0121,0.010852943,0.006,0.005142042,0.0109,0.00711113,0.0015,-0.001958596,0.0144,0.0081,-0.0012,0.002652239,0.006960379,-0.001569822,0.0039,0.0042,-0.004255,0.016506,0.0048,-0.0118,0.0185
