date,MKTB,DRF,MKTBD,CRF,VAL,CRY,MOMB,LTREVB,DUR,HMLB,STREVB,SZE,DEF,TERM,PEADB,MOMBS
31/05/1990,0.025722248,0.023009164,0.001760043,-0.000158789,-0.008440878,0.012057784,-0.023970513,0.008216423,0.023181089,0.01766188,0.032110724,0.004391089,-0.003,0.0346,0.000412841,0.002143118
30/06/1990,0.011479716,0.007293926,0.000822719,0.000209837,-0.002733124,0.002744585,-0.005148584,0.003834221,0.00594213,0.008169729,-0.006597334,0.00075884,-0.0014,0.0162,0.001332978,0.003082607
31/07/1990,0.005294013,-0.002396996,-0.000959411,0.002203557,0.00411267,0.000567105,0.001177581,0.002047656,-0.004986122,0.000968818,-0.00059233,-0.000133393,-0.0005,0.0044,0.000466007,0.000918824
31/08/1990,-0.025047293,-0.028798751,0.001172231,-0.003518333,0.009639325,-0.011614611,-0.008889711,0.002043495,-0.025939012,-0.018270263,-7.54E-05,0.002380007,0.0127,-0.0487,0.001272751,-0.000231
30/09/1990,-0.006026673,-0.007045469,-0.009705267,-0.014922122,-0.020183626,-0.014776552,0.002616679,-0.004145885,0.00641881,-0.012668187,-0.002331022,0.01159064,-0.0026,0.0051,0.00609644,0.015181244
31/10/1990,-0.00595599,-0.003750021,-0.01710781,-0.018565505,-0.016805,-0.014250768,0.002139556,-0.002679246,0.006495316,-0.013558683,-0.018195886,0.00563003,-0.0083,0.0155,0.005900135,0.01710771
30/11/1990,0.014601962,0.016119198,-0.00569608,-0.011317894,-0.004722193,-0.000975789,-0.000334336,-0.001672848,0.013470145,0.012505385,-0.003015552,0.00379752,-0.0117,0.0334,0.000720645,0.003688635
31/12/1990,0.008516132,0.00412389,-0.002213494,0.004126291,0.000932302,0.005138411,-0.004483704,0.002628678,0.00357214,0.004082296,-0.003209828,-0.005438539,-0.002,0.013,0.003513294,-0.002515618
31/01/1991,0.007280172,0.003339064,0.002020494,-0.012013649,-0.010664139,-0.005549084,0.003655863,-0.002288173,0.014018061,-0.002758533,-0.005440518,-0.000809333,0.002,0.007,0.005051872,0.006883497
28/02/1991,0.014446519,0.017905402,0.013825294,0.013109094,0.007722082,0.012333597,-0.014935981,0.005746906,0.003111358,0.016379694,0.004293389,-0.000309059,0.0091,-0.0022,0.001442262,-0.00835102
31/03/1991,0.009292416,0.007626978,0.010509501,0.008675474,0.005373288,0.011189527,-0.005466716,0.005027369,0.000101166,0.008254488,-0.005241796,-0.003376538,0.007,-0.001,0.000705126,-0.003317192
30/04/1991,0.008194564,0.007046235,0.0025265,0.003566678,0.004795929,0.005870601,-0.000821508,0.006187848,-0.000123044,0.005829234,-0.000840853,-0.005144403,-0.0002,0.0096,0.002228824,-0.000790234
